cca3,year,annual_mean_temp_c,valid_months,annual_mean_uncertainty_c
MDG,1992,23.341333333333335,12,0.35283333333333333
MDG,1993,23.455833333333334,12,0.4131666666666667
MDG,1994,23.444583333333338,12,0.42566666666666664
MDG,1995,23.47975,12,0.3040833333333333
MDG,1996,23.26291666666667,12,0.30566666666666664
MDG,1997,23.452916666666667,12,0.33425
MDG,1998,23.753416666666666,12,0.35441666666666666
MDG,1999,23.41925,12,0.36125
MDG,2000,23.320333333333334,12,0.34591666666666665
MDG,2001,23.586916666666667,12,0.3185
MDG,2002,23.617500000000003,12,0.36041666666666666
MDG,2003,23.49525,12,0.33016666666666666
MDG,2004,23.453000000000003,12,0.3129166666666667
MDG,2005,23.62183333333333,12,0.34941666666666665
MDG,2006,23.66116666666667,12,0.39083333333333337
MDG,2007,23.64975,12,0.361
MDG,2008,23.332250000000002,12,0.45333333333333337
MDG,2009,23.618666666666666,12,0.49983333333333335
MEX,1960,20.746583333333334,12,0.22991666666666666
MEX,1961,20.723916666666664,12,0.1945
MEX,1962,20.993333333333336,12,0.2568333333333333
MEX,1963,20.879416666666668,12,0.23683333333333334
MEX,1964,20.586333333333332,12,0.22041666666666668
MEX,1965,20.7345,12,0.26175
MEX,1966,20.389666666666667,12,0.21775
MEX,1967,20.683333333333334,12,0.21733333333333335
MEX,1968,20.316083333333335,12,0.22491666666666665
MEX,1969,20.958833333333335,12,0.2038333333333333
MEX,1970,20.490083333333335,12,0.22324999999999998
MEX,1971,20.640333333333334,12,0.22108333333333333
MEX,1972,20.975,12,0.22375
MEX,1973,20.496166666666667,12,0.23933333333333331
MEX,1974,20.6315,12,0.2295
MEX,1975,20.449333333333332,12,0.23650000000000002
MEX,1976,20.145666666666667,12,0.24183333333333334
MEX,1977,20.84125,12,0.20775
MEX,1978,20.7555,12,0.22558333333333333
MEX,1979,20.569,12,0.18825
MEX,1980,21.035666666666668,12,0.18116666666666667
MEX,1981,20.75375,12,0.22716666666666666
MEX,1982,21.051083333333334,12,0.21308333333333332
MEX,1983,20.675416666666667,12,0.21458333333333335
MEX,1984,20.5115,12,0.20466666666666666
MEX,1985,20.603916666666667,12,0.22241666666666668
MEX,1986,20.850666666666665,12,0.19391666666666665
MEX,1987,20.455166666666667,12,0.2048333333333333
MEX,1988,20.736083333333333,12,0.18958333333333333
MEX,1989,20.96516666666667,12,0.24758333333333335
MEX,1990,20.960833333333333,12,0.21025000000000002
MEX,1991,20.83966666666667,12,0.18391666666666664
MEX,1992,20.650333333333332,12,0.23491666666666666
MEX,1993,20.938833333333335,12,0.19258333333333333
