country,cca3,reference_year,population_at_reference,density_at_reference_per_km2,population_growth_prior_decade_pct,prior_decade_mean_temp_c,prior_decade_warming_c_per_decade,prior_decade_detrended_volatility_c,prior_decade_mean_temp_uncertainty_c,area_km2,continent,target_exposure_class
Niger,NER,1980,6173177,4.872278610891871,32.1962101270572,27.517666666666667,0.07929292929292973,0.30372467456032465,0.383225,1267000,Africa,Low
Niger,NER,1990,8370647,6.6066669297553275,35.597067765916954,27.71794166666667,-0.0021464646464654934,0.2874607524895331,0.4141916666666667,1267000,Africa,Medium
Northern Mariana Islands,NFK,1970,10143,21.85991379310345,,26.877783333333333,-0.09766666666667073,0.10333778962911876,0.5371916666666667,464,Oceania,Medium
Northern Mariana Islands,NFK,1980,17613,37.95905172413793,73.64685004436558,27.068666666666665,0.24728282828283282,0.13616637454343689,0.49175,464,Oceania,Medium
Northern Mariana Islands,NFK,1990,48002,103.45258620689656,172.53733038096863,27.44195,0.13848484848484718,0.1904473244481277,0.4845750000000001,464,Oceania,High
Nigeria,NGA,1970,55569264,60.154999956699086,,26.7642,0.3209595959595962,0.22074344957295536,0.29428333333333334,923768,Africa,Medium
Nigeria,NGA,1980,72951439,78.97160217717003,31.280196548941163,26.877391666666664,-0.05099494949494997,0.266703273669321,0.2861416666666667,923768,Africa,Medium
Nigeria,NGA,1990,95214257,103.07161213638057,30.517311659883784,26.989683333333335,-0.05009090909091034,0.3048916077105126,0.3042916666666667,923768,Africa,High
Nicaragua,NIC,1970,2444767,18.752095909429098,,26.1185,-0.06756565656565679,0.17517330921762084,0.383625,130373,North America,Medium
Nicaragua,NIC,1980,3303309,25.33737046781159,35.11753880840178,26.19471666666667,0.3633737373737358,0.21673683017442785,0.315975,130373,North America,Medium
Nicaragua,NIC,1990,4227820,32.42864703581263,27.98742109805652,26.386858333333333,0.1602979797979792,0.2932577416693534,0.3547333333333333,130373,North America,Medium
Niue,NIU,1970,5185,19.942307692307693,,25.113625,-0.20504545454545092,0.1788539438231652,0.4352083333333333,260,Oceania,Low
Niue,NIU,1980,3637,13.988461538461538,-29.855351976856316,25.35000833333334,-0.19639898989898905,0.24386538166243113,0.4450333333333333,260,Oceania,Low
Niue,NIU,1990,2533,9.742307692307692,-30.35468792961232,25.390866666666668,0.24697979797979785,0.2245405335282621,0.3900416666666667,260,Oceania,Low
Netherlands,NLD,1970,13037686,311.533715651135,,9.504841666666668,0.1843989898989903,0.6856618434555728,0.2513,41850,Europe,Low
Netherlands,NLD,1980,14130387,337.6436559139785,8.38109615463971,9.736633333333334,-0.26524242424242556,0.4460173983297005,0.23842500000000003,41850,Europe,High
Netherlands,NLD,1990,14944548,357.0979211469534,5.761774252892016,9.805058333333331,0.5284191919191915,0.6832742212599995,0.20525,41850,Europe,Medium
Norway,NOR,1970,3875546,11.968876041531553,,-0.016274999999999918,-1.099308080808081,0.5785791485972729,0.3490666666666667,323802,Europe,Low
Norway,NOR,1980,4085776,12.618130833039944,5.424525989370266,0.3737166666666667,-0.8849999999999997,0.6939230622756564,0.30578333333333335,323802,Europe,Medium
Norway,NOR,1990,4241636,13.099474370139777,3.814697624147767,0.24677499999999997,0.7761464646464649,0.7133058740991253,0.28063333333333335,323802,Europe,Low
Nepal,NPL,1970,12501285,84.93817136722811,,14.989833333333332,0.029414141414143877,0.3038141859535308,0.4358833333333333,147181,Asia,High
Nepal,NPL,1980,15600442,105.99494499969425,24.790707515267442,15.029225000000002,0.2610151515151502,0.278926991742971,0.39455,147181,Asia,High
Nepal,NPL,1990,19616530,133.28167358558508,25.743424449127783,15.1491,0.4328181818181812,0.334555532575841,0.47780000000000006,147181,Asia,High
New Zealand,NZL,1970,2824061,10.441425386461194,,10.488775,-0.2519545454545464,0.2551871926308768,0.3186333333333333,270467,Oceania,Low
New Zealand,NZL,1980,3147168,11.636051717954501,11.441218868855874,10.808775,-0.5318434343434344,0.3667156579096114,0.2915166666666667,270467,Oceania,Medium
New Zealand,NZL,1990,3397389,12.561196005427648,7.950671842113288,10.865749999999998,0.7129393939393946,0.24876263160997844,0.2607416666666667,270467,Oceania,Medium
Oman,OMN,1970,670693,2.1670210016155087,,26.91000833333333,0.09033838383838298,0.22144315398131623,0.7167416666666667,309500,Asia,Low
Oman,OMN,1980,1017462,3.287437802907916,51.70308919281996,27.014491666666668,0.3725606060606082,0.2890861879198244,0.7453583333333333,309500,Asia,Low
Oman,OMN,1990,1804524,5.830449111470113,77.35541966186452,26.948158333333332,-0.18182323232323508,0.3205770019639259,0.6552083333333334,309500,Asia,Medium
Pakistan,PAK,1970,59290872,67.22991863133737,,20.572458333333337,0.019479797979796973,0.3414759318013877,0.27665,881912,Asia,Medium
Pakistan,PAK,1980,80624057,91.41961669645043,35.98055532055593,20.661566666666666,-0.08278787878787747,0.3965270259328791,0.2973166666666667,881912,Asia,Medium
Pakistan,PAK,1990,115414069,130.8680106405174,43.15090717898258,21.039633333333335,0.16031313131313615,0.4466326416970171,0.3022083333333333,881912,Asia,High
Panama,PAN,1970,1516188,20.104061418513066,,26.470708333333334,0.01975252525252813,0.13660599156803407,0.35435,75417,North America,Medium
Panama,PAN,1980,1956987,25.948884203826722,29.072845847612562,26.438391666666668,0.3061969696969695,0.22417142685794847,0.36565833333333336,75417,North America,Low
Panama,PAN,1990,2449968,32.48561995306098,25.190816290552775,26.715733333333333,-0.04448484848484751,0.30579250417835935,0.36491666666666667,75417,North America,Low
Peru,PER,1970,13562371,10.552600496725843,,20.112399999999997,0.3192828282828291,0.18346133683111374,0.26927500000000004,1285216,South America,Low
Peru,PER,1980,17492406,13.610479483604312,28.97749220987982,20.05105,0.016040404040404483,0.2512563398347298,0.26164166666666666,1285216,South America,Low
Peru,PER,1990,22109099,17.202632864825834,26.392555718178514,20.316075,-0.08271212121212299,0.3676246419337285,0.295725,1285216,South America,Medium
Philippines,PHL,1970,37435586,109.3479128268191,,26.720041666666667,0.16389393939394015,0.16760260622650489,0.23875833333333335,342353,Asia,Medium
Philippines,PHL,1980,48419546,141.43163927291423,29.34095916115751,26.741166666666665,-0.03431313131312986,0.1849131969186833,0.24712499999999998,342353,Asia,High
Philippines,PHL,1990,61558898,179.81118319395478,27.136462617803158,26.90434166666667,0.25572222222222446,0.20270592511860536,0.2225416666666667,342353,Asia,High
Palau,PLW,1970,11366,24.762527233115467,,27.354791666666664,0.20122727272727214,0.11087085679078217,0.3849166666666667,459,Oceania,Low
Palau,PLW,1980,12252,26.69281045751634,7.7951786028506165,27.483541666666667,-0.08345959595959435,0.10857247325690303,0.3031666666666667,459,Oceania,Medium
